Table 4: City Prosperity Index. Global CPI. Base Data. 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Prosperity Index. Global CPI. Base Data. 2016 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY,METROPOLITAN AREA,CITY,YEAR,PRODUCTIVITY INDEX (P),,INFRASTRUCTURE DEVELOPMENT INDEX (ID),,,,,,,,,QUALITY OF LIFE INDEX (QOL),,,,,,EQUITY AND SOCIAL INCLUSION INDEX (ESI),,,,,,ENVIRONMENTAL SUSTAINABILITY,,,,,URBAN GOVERNANCE AND LEGISLATION INDEX (GI)
,,,,Economic Strenght,Employment,Housing Infrastructure,,,Social Infrastructure,ICT,Urban Mobility,,,,Health,,Education,,Security,,Economic Equity,,Social Inclusion,,Gender Inclusion,,Air Quality,,Water and Energy,,,Participation and Accountability
,,,,City Product per capita,Unemployment Rate  ,Improved Shelter (floor),Improved Shelter (multi variable),Access to Improved Water,Physicians Density,Internet Access,Use of Public Transport,Average Daily Travel Time ,Traffic Fatalities  ,,Life Expectancy at Birth,Under-Five Mortality Rate  ,Literacy Rate,Mean Years of Schooling,Homicide rate  ,,Gini Coefficient  ,Poverty Rate  ,Slum Households  ,Youth Unemployment  ,Equitable Secondary School Enrollment,,PM2.5 Concentration  ,PM10 Concentration  ,CO2 Emissions  ,Share of renewable energy consumption ,,Voter Turnout
,,,, USD (PPP) ,rate,%,%,% ,per 1000,%,%,min,"# per 100,000",,years,rate,rate,years,rate,,ratio, rate ,%,%,ratio,,µg/m3,µg/m3,µg/m3,%,,%
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,--,Accra,2015,"3,430.65",7.85,92.6,,94.5,0.1,17.3,,,22.2,,61.1,78.4,68.98,6.76,1.32,,0.43,2.5,36.1,8.7,0.97,,,49,0.37, -   ,,80.1
Kenya,--,Nairobi,2015,"8,208.96",11.3,89.8,,81.5,0.21,50.33,,,20.9,,61.7,64,96.75,10.35,6.1,,0.34,43.37,44.6,17.1,0.93,,,5.85,0.3,23.3,,85.91
Liberia,--,Monrovia,2015,707.52,28.91,91.2,,87.8,0.01,4.6,,,19,,60.53,71.1,42.94,3.9,5.74,,0.38,83.76,58.1,5.1,,,,8.78,0.2, -- ,,38.6
Nigeria,--,Lagos,2015,"3,441.94",27.6,98.8,,92.1,0.4,38,,,33.7,,51,30.77,89,5.2,20,,0.64,62.03,44.1,13.6,0.89,,,27.07,0.49, -   ,,53.68
South Africa,--,Cape Town,2015,"15,770.36",23.9,99.6,,99.2,0.78,49.3,,,31.9,,56.74,43.9,93.73,9.9,59.9,,0.67,9.42,19.5,31.9,1.1,,,16,9.06,0.16,,73.48
South Africa,--,Johannesburg,2015,"17,433.48",25, -- ,,87.3,0.78,49.6,,,31.9,,56.74,43.9,93.73,9.9,30.8,,0.75,9.42,20.5,31.5,1.1,,,51,9.06,0.16,,73.48
Tanzania,--,Dar es Salaam,2015,"3,328.37",5.7,97.3,,88.5,0.03,4.4,,,22.7,,61.5,94,96.1,6.9,12.8,,0.11,12.98,44.9,6.6,0.86,,,23.33,0.15, -   ,,42.84
Uganda,--,Kampala,2015,"2,084.06",11.4,94.7,,97.3,0.12,16.2,,,28.9,,59.19,65,92,5.4,12,,0.34,37.78,31.8,5.4,0.87,,,10.04,0.11,4,,59.29
Zambia,--,Lusaka,2015,"3,734.22",38.17,95.1,,92.3,0.17,15.4,,,23.8,,58.09,87.4,61.43,6.5,9.47,,0.54,74.32,46.3,15.22,,,,5.64,0.18, -   ,,53.6
Zimbabwe,--,Harare,2015,"2,466.02",16.69,98.3,,100,0.06,16,,,14.6,,43.5,77.4,99,7.2,10.6,,0.38,72,27.4,31.99,1.01,,,4.78,0.72,0.76,,54.38
Egypt,--,Alexandria city,2016,"8,238.54",16.56,86.61,,93.35,2.09,52.03,,,5.24,,72,21.9,80.7,13.3,75.84,,0.32,6.4,,14.15,,,,196.87,2.62,9.04,,28.27
Egypt,--,Areesh,2016,"10,869.57",10.51,97.88,,90.85,2.06,47.89,,,57.75,,71.2,33.8,86.83,13.3,81.06,,0.23, -   ,,8.95,,,,308.69,2.62,9.04,,28.27
Egypt,--,Armant,2016,"7,013.86",15.74,85.34,,83.35,0.84,47.93,,,18.21,,69.8,29.98,69.91,13.3,,,0.24,40.9,,15.38,,,,328.13,2.62,9.04,,28.27
Egypt,--,Aswan,2016,"6,754.56",16.03,96.13,,83.38,0.53,41.77,,,29.04,,71.2,28.15,82.85,13.3,26.05,,0.23,18.4,,17.45,,,,328.13,2.62,9.04,,28.27
Egypt,--,Banha,2016,"8,617.78",15.26,98.93,,96.32,4.26,46.17,,,23.61,,72.7,35.21,86.43,13.3,72.96,,0.26,11.3,,13.19,,,,179.45,2.62,9.04,,28.27
Egypt,--,Belbeis,2016,"8,028.62",18.46,98.73,,95.26,2.69,41.71,,,24.67,,71.2,18.64,76.46,13.3,,,0.26,19.2,,14.34,,,,308.69,2.62,9.04,,28.27
